policy_id,last_policy_status,last_termination_dt,time_stamp
P_07499170,cancelled,2017-08-31,2018-01-31
P_04804696,active,,2018-01-31
P_02151769,cancelled,2017-11-30,2018-01-31
P_01229541,active,,2018-01-31
P_08941707,active,,2018-01-31
P_02281930,active,,2018-01-31
P_08639837,cancelled,2017-02-28,2018-01-31
P_06527126,active,,2018-01-31
P_02617885,cancelled,2018-01-31,2018-01-31
P_09550176,active,,2018-01-31
P_08980621,active,,2018-01-31
P_05902669,active,,2018-01-31
P_07000840,active,,2018-01-31
P_09745441,active,,2018-01-31
P_01817812,active,,2018-01-31
P_05418637,cancelled,2017-09-30,2018-01-31
P_00347273,active,,2018-01-31
P_09410004,active,,2018-01-31
P_01268048,cancelled,2018-01-31,2018-01-31
P_06085004,active,,2018-01-31
P_08569077,cancelled,2017-10-31,2018-01-31
P_08694500,active,,2018-01-31
P_02168269,active,,2018-01-31
P_04211331,active,,2018-01-31
P_05986198,active,,2018-01-31
P_01748890,cancelled,2017-05-31,2018-01-31
P_00384863,active,,2018-01-31
P_08466917,active,,2018-01-31
P_08362457,active,,2018-01-31
P_01033797,active,,2018-01-31
P_00469604,active,,2018-01-31
P_03424862,active,,2018-01-31
P_08317439,active,,2018-01-31
P_04533012,active,,2018-01-31
P_02307241,active,,2018-01-31
P_01612859,active,,2018-01-31
P_07561498,cancelled,2017-12-31,2018-01-31
P_09223403,active,,2018-01-31
P_01557759,active,,2018-01-31
P_01760427,active,,2018-01-31
P_09216700,cancelled,2017-06-30,2018-01-31
P_09788787,active,,2018-01-31
P_05027688,active,,2018-01-31
P_07847890,active,,2018-01-31
